Vez,Quantidade,Tempo(segundos)
51,100000,0.03100
52,100000,0.03200
53,100000,0.03100
54,100000,0.01600
55,100000,0.03100
56,100000,0.04100
57,100000,0.01700
58,100000,0.03100
59,100000,0.03100
60,100000,0.03200
61,100000,0.02800
62,100000,0.03100
63,100000,0.03100
64,100000,0.03200
65,100000,0.01500
66,100000,0.01600
67,100000,0.03100
68,100000,0.03100
69,100000,0.03200
70,100000,0.03100
71,100000,0.03100
72,100000,0.03200
73,100000,0.03000
74,100000,0.01800
75,100000,0.03100
76,100000,0.03200
77,100000,0.03100
78,100000,0.03400
79,100000,0.02600
80,100000,0.03100
81,100000,0.01600
82,100000,0.01600
83,100000,0.03100
84,100000,0.03200
85,100000,0.03100
86,100000,0.03100
87,100000,0.03200
88,100000,0.03100
89,100000,0.01600
90,100000,0.04300
91,100000,0.01600
92,100000,0.03100
93,100000,0.03200
94,100000,0.03100
95,100000,0.03100
96,100000,0.03500
97,100000,0.02700
98,100000,0.03100
99,100000,0.01600
100,100000,0.03100
1,500000,0.14100
2,500000,0.15600
3,500000,0.15400
4,500000,0.15700
5,500000,0.15300
6,500000,0.14200
7,500000,0.13800
8,500000,0.14100
9,500000,0.15600
10,500000,0.15400
11,500000,0.14100
12,500000,0.13800
13,500000,0.14100
14,500000,0.15500
15,500000,0.15700
16,500000,0.14100
17,500000,0.13800
18,500000,0.15400
19,500000,0.15600
20,500000,0.14200
21,500000,0.15200
22,500000,0.14400
23,500000,0.14100
24,500000,0.13700
25,500000,0.14400
26,500000,0.15700
27,500000,0.14100
28,500000,0.15100
29,500000,0.14100
30,500000,0.15700
31,500000,0.15100
32,500000,0.15700
33,500000,0.14100
34,500000,0.14100
35,500000,0.15900
36,500000,0.14100
37,500000,0.15700
38,500000,0.15300
39,500000,0.14100
40,500000,0.14100
41,500000,0.15200
42,500000,0.14900
43,500000,0.14100
44,500000,0.15900
45,500000,0.14700
46,500000,0.14100
47,500000,0.14100
48,500000,0.15900
49,500000,0.14700
50,500000,0.14100
51,500000,0.13600
52,500000,0.13900
53,500000,0.15700
54,500000,0.15400
55,500000,0.14100
56,500000,0.13600
57,500000,0.14100
58,500000,0.15700
59,500000,0.15300
60,500000,0.14100
61,500000,0.14300
62,500000,0.14200
63,500000,0.13800
64,500000,0.13600
65,500000,0.14100
66,500000,0.15400
67,500000,0.15600
68,500000,0.13900
69,500000,0.15700
70,500000,0.14700
71,500000,0.13800
72,500000,0.14200
73,500000,0.15200
74,500000,0.15600
75,500000,0.14100
76,500000,0.15200
77,500000,0.14800
78,500000,0.14100
79,500000,0.15700
80,500000,0.13900
81,500000,0.14300
82,500000,0.15500
83,500000,0.15300
84,500000,0.13900
85,500000,0.14100
86,500000,0.15700
87,500000,0.15100
88,500000,0.15700
89,500000,0.14100
90,500000,0.14800
91,500000,0.14200
92,500000,0.15700
93,500000,0.14100
94,500000,0.15800
95,500000,0.14100
96,500000,0.14100
97,500000,0.15700
98,500000,0.14100
99,500000,0.14100
100,500000,0.16000
1,1000000,0.29400
2,1000000,0.29400
3,1000000,0.29800
4,1000000,0.29100
5,1000000,0.29700
6,1000000,0.29500
7,1000000,0.29400
8,1000000,0.29300
9,1000000,0.29900
10,1000000,0.29500
11,1000000,0.29300
12,1000000,0.29400
13,1000000,0.31000
14,1000000,0.29900
15,1000000,0.29100
16,1000000,0.31000
17,1000000,0.29600
18,1000000,0.30400
19,1000000,0.29800
20,1000000,0.29700
21,1000000,0.30400
22,1000000,0.29400
23,1000000,0.29700
24,1000000,0.29900
25,1000000,0.29200
26,1000000,0.29800
27,1000000,0.29300
28,1000000,0.29300
29,1000000,0.29800
30,1000000,0.29400
31,1000000,0.29800
32,1000000,0.29800
33,1000000,0.29800
34,1000000,0.30900
35,1000000,0.29700
36,1000000,0.29600
37,1000000,0.29400
38,1000000,0.30000
39,1000000,0.29500
40,1000000,0.31100
41,1000000,0.28800
42,1000000,0.29500
43,1000000,0.31000
44,1000000,0.29900
45,1000000,0.29800
46,1000000,0.30700
47,1000000,0.29600
48,1000000,0.29800
49,1000000,0.31000
50,1000000,0.29500
51,1000000,0.30600
52,1000000,0.29800
53,1000000,0.29600
54,1000000,0.28900
55,1000000,0.29900
56,1000000,0.29300
57,1000000,0.29800
58,1000000,0.30500
59,1000000,0.30200
60,1000000,0.29500
61,1000000,0.28900
62,1000000,0.28300
63,1000000,0.29800
64,1000000,0.29500
65,1000000,0.29700
66,1000000,0.30300
67,1000000,0.29600
68,1000000,0.29600
69,1000000,0.29300
70,1000000,0.29500
71,1000000,0.29500
72,1000000,0.29400
73,1000000,0.29700
74,1000000,0.29700
75,1000000,0.29500
76,1000000,0.29600
77,1000000,0.29600
78,1000000,0.29800
79,1000000,0.29200
80,1000000,0.29300
81,1000000,0.29800
82,1000000,0.29200
83,1000000,0.29800
84,1000000,0.29900
85,1000000,0.29800
