Vez,Quantidade,Tempo(segundos)
58,100000,3.35800
59,100000,3.35100
60,100000,3.34400
61,100000,3.33700
62,100000,3.35100
63,100000,3.35100
64,100000,3.35000
65,100000,3.34700
66,100000,3.60300
67,100000,3.32800
68,100000,3.33700
69,100000,3.32800
70,100000,3.32300
71,100000,3.33000
72,100000,3.34400
73,100000,3.36500
74,100000,3.34400
75,100000,3.33300
76,100000,3.36300
77,100000,3.34900
78,100000,3.33600
79,100000,3.35000
80,100000,3.33900
81,100000,3.34600
82,100000,3.34800
83,100000,3.36600
84,100000,3.33400
85,100000,3.34000
86,100000,3.36900
87,100000,3.35600
88,100000,3.35500
89,100000,3.34600
90,100000,3.36100
91,100000,4.16900
92,100000,3.91400
93,100000,4.03900
94,100000,3.93400
95,100000,4.07600
96,100000,3.55100
97,100000,3.33600
98,100000,3.33300
99,100000,3.32700
100,100000,3.33700
